blk_street,latitude,longitude,
309 ANG MO KIO AVE 1,1.3643288,103.8441101,
216 ANG MO KIO AVE 1,1.3662078,103.8414166,
211 ANG MO KIO AVE 3,1.3692104,103.8415977,
202 ANG MO KIO AVE 3,1.3684602,103.8445869,
235 ANG MO KIO AVE 3,1.3669343,103.8362083,
232 ANG MO KIO AVE 3,1.3682103,103.8372499,
308 ANG MO KIO AVE 1,1.3643085,103.8443393,
220 ANG MO KIO AVE 1,1.3656276,103.8404202,
219 ANG MO KIO AVE 1,1.3659933,103.8405108,
247 ANG MO KIO AVE 3,1.3679764,103.8341552,
320 ANG MO KIO AVE 1,1.3655808,103.8483915,
252 ANG MO KIO AVE 4,1.3688872,103.8342609,
223 ANG MO KIO AVE 1,1.3660809,103.8380651,
230 ANG MO KIO AVE 3,1.3688659,103.837884,
329 ANG MO KIO AVE 3,1.3666154,103.8468515,
313 ANG MO KIO AVE 3,1.3666695,103.8501126,
117 ANG MO KIO AVE 4,1.3736407,103.8358007,
110 ANG MO KIO AVE 4,1.3705542,103.8373405,
343 ANG MO KIO AVE 3,1.3683603,103.8491162,
345 ANG MO KIO AVE 3,1.3675154,103.8497376,
346 ANG MO KIO AVE 3,1.3671343,103.8497283,
121 ANG MO KIO AVE 3,1.3697115,103.8435905,
129 ANG MO KIO AVE 3,1.3698666,103.8421412,
130 ANG MO KIO AVE 3,1.3703816,103.8417789,
128 ANG MO KIO AVE 3,1.3708105,103.8435905,
127 ANG MO KIO AVE 3,1.3711757,103.8437717,
126 ANG MO KIO AVE 3,1.3716164,103.8435905,
403 ANG MO KIO AVE 10,1.3613694,103.8545514,
404 ANG MO KIO AVE 10,1.3617351,103.854642,
405 ANG MO KIO AVE 10,1.3617045,103.8536003,
417 ANG MO KIO AVE 10,1.3650281,103.8551856,
418 ANG MO KIO AVE 10,1.365035,103.8540079,
419 ANG MO KIO AVE 10,1.3654002,103.8541891,
441 ANG MO KIO AVE 10,1.36606,103.8540985,
442 ANG MO KIO AVE 10,1.3656873,103.8551856,
443 ANG MO KIO AVE 10,1.3660482,103.8553623,
444 ANG MO KIO AVE 10,1.3666375,103.8555479,
450 ANG MO KIO AVE 10,1.3684689,103.8555479,
435 ANG MO KIO AVE 10,1.3677443,103.8541891,
433 ANG MO KIO AVE 10,1.3680358,103.8544609,
434 ANG MO KIO AVE 10,1.3679694,103.8532832,
424 ANG MO KIO AVE 3,1.3686437,103.8507467,
425 ANG MO KIO AVE 3,1.3690092,103.8515813,
466 ANG MO KIO AVE 10,1.365897,103.8569068,
471 ANG MO KIO AVE 10,1.3634808,103.8567256,
474 ANG MO KIO AVE 10,1.3628141,103.8579939,
570 ANG MO KIO AVE 3,1.3698332,103.8558859,
586 ANG MO KIO AVE 3,1.3703046,103.8535072,
455 ANG MO KIO AVE 10,1.3686312,103.8572709,
465 ANG MO KIO AVE 10,1.3662627,103.8569974,
463 ANG MO KIO AVE 10,1.3669193,103.8574503,
564 ANG MO KIO AVE 3,1.3697651,103.8593528,
560 ANG MO KIO AVE 10,1.3707919,103.8591716,
558 ANG MO KIO AVE 10,1.3712314,103.8591716,
559 ANG MO KIO AVE 10,1.3710191,103.8579033,
538 ANG MO KIO AVE 5,1.3756617,103.8533738,
534 ANG MO KIO AVE 10,1.3741187,103.8540985,
601 ANG MO KIO AVE 5,1.380965,103.834765,
603 ANG MO KIO AVE 5,1.380163,103.8357101,
604 ANG MO KIO AVE 5,1.3800876,103.8360724,
608 ANG MO KIO AVE 5,1.3786898,103.8369782,
611 ANG MO KIO AVE 5,1.3783229,103.8370688,
505 ANG MO KIO AVE 8,1.3748745,103.8502032,
503 ANG MO KIO AVE 5,1.3754681,103.848935,
610 ANG MO KIO AVE 4,1.3798478,103.8394238,
607 ANG MO KIO AVE 4,1.3803646,103.8387898,
524 ANG MO KIO AVE 5,1.3734782,103.8530779,
513 ANG MO KIO AVE 8,1.3727497,103.8502032,
643 ANG MO KIO AVE 5,1.3774964,103.8405108,
542 ANG MO KIO AVE 10,1.3746947,103.8558197,
548 ANG MO KIO AVE 10,1.3728555,103.857088,
550 ANG MO KIO AVE 10,1.3735818,103.8581751,
639 ANG MO KIO AVE 6,1.3799029,103.8425036,
637 ANG MO KIO AVE 6,1.3803431,103.842413,
330 ANG MO KIO AVE 1,1.3623423,103.8510185,
333 ANG MO KIO AVE 1,1.3613131,103.8516526,
156 ANG MO KIO AVE 4,1.3755222,103.8397861,
152 ANG MO KIO AVE 5,1.376693,103.8400579,
178 ANG MO KIO AVE 4,1.3763449,103.8369782,
180 ANG MO KIO AVE 5,1.3767032,103.8383369,
209 ANG MO KIO AVE 3,1.368981,103.8432282,
231 ANG MO KIO AVE 3,1.3688328,103.8372952,
254 ANG MO KIO AVE 4,1.3703801,103.8345568,
103 ANG MO KIO AVE 3,1.3709821,103.8393332,
105 ANG MO KIO AVE 4,1.3723838,103.8377028,
